epoch,train_signal_loss,val_signal_loss,train_mse,val_mse,wall_time_sec
1,1.4175574627516092,2.3714306354522705,1.4175574627516092,2.3714306354522705,3.2671682834625244
2,1.4129504125736545,798.0406494140625,1.4129504125736545,798.0406494140625,6.28183388710022
3,0.7047740020037446,835.7611694335938,0.7047740020037446,835.7611694335938,9.295586109161377
4,1.0742492010163163,5.729440212249756,1.0742492010163163,5.729440212249756,12.310425519943237
5,0.6093693949693763,54.987464904785156,0.6093693949693763,54.987464904785156,15.264545440673828
6,0.6908696577160872,3.102930784225464,0.6908696577160872,3.102930784225464,18.217435359954834
7,1.058558114055794,225.7707977294922,1.058558114055794,225.7707977294922,21.17581820487976
8,1.7443303742278424,373.5613098144531,1.7443303742278424,373.5613098144531,24.125734567642212
9,1.58979331755587,190.8931427001953,1.58979331755587,190.8931427001953,27.18223476409912
10,0.3185024845754105,2.1975834369659424,0.3185024845754105,2.1975834369659424,30.25122308731079
11,0.8363747509095497,755.0263061523438,0.8363747509095497,755.0263061523438,33.34269571304321
12,0.1929448918546938,731.4617919921875,0.1929448918546938,731.4617919921875,36.55544567108154
13,0.3274623918630591,12.890349388122559,0.3274623918630591,12.890349388122559,39.73774862289429
14,0.4158972612944525,677.135009765625,0.4158972612944525,677.135009765625,42.85695743560791
15,0.6128451474678717,295.5451354980469,0.6128451474678717,295.5451354980469,45.855976581573486
16,0.16139437548697447,1013.2030029296875,0.16139437548697447,1013.2030029296875,49.013935565948486
17,1.0857633417349388,1716.6070556640625,1.0857633417349388,1716.6070556640625,52.072633504867554
18,0.28931222249365235,437.69805908203125,0.28931222249365235,437.69805908203125,55.10490298271179
19,1.2666469754238936,1808.3660888671875,1.2666469754238936,1808.3660888671875,58.056679487228394
20,0.1750778008457109,767.7089233398438,0.1750778008457109,767.7089233398438,61.016846656799316
21,0.22899375889158705,199.86203002929688,0.22899375889158705,199.86203002929688,64.01684617996216
22,0.20218373566850634,2027.595947265625,0.20218373566850634,2027.595947265625,66.98243975639343
23,0.2648366884223879,1174.280517578125,0.2648366884223879,1174.280517578125,69.98617601394653
24,0.22354385863672957,948.1802978515625,0.22354385863672957,948.1802978515625,72.9413161277771
25,0.2334181934739689,909.6998901367188,0.2334181934739689,909.6998901367188,75.90388989448547
26,0.1811980916868192,1463.9945068359375,0.1811980916868192,1463.9945068359375,78.8723680973053
27,0.8607014878452274,971.67041015625,0.8607014878452274,971.67041015625,81.85759663581848
28,0.19246240701717343,634.517822265625,0.19246240701717343,634.517822265625,84.81593084335327
29,0.2365458176717722,572.6375122070312,0.2365458176717722,572.6375122070312,87.76985549926758
30,0.31869472206190996,174.388671875,0.31869472206190996,174.388671875,90.7382595539093
31,0.1933693526413162,1218.7083740234375,0.1933693526413162,1218.7083740234375,93.70963096618652
32,0.2241019801275219,1434.1583251953125,0.2241019801275219,1434.1583251953125,96.68167877197266
33,0.9340520984130579,899.7453002929688,0.9340520984130579,899.7453002929688,99.69548988342285
34,0.27991368867768235,338.351806640625,0.27991368867768235,338.351806640625,102.71601915359497
35,0.17778213842056187,1674.4805908203125,0.17778213842056187,1674.4805908203125,105.7768349647522
36,0.18455404593859606,819.2254028320312,0.18455404593859606,819.2254028320312,108.83796787261963
37,0.17265908324803092,856.79931640625,0.17265908324803092,856.79931640625,111.94183802604675
38,0.8780196344633103,1036.8548583984375,0.8780196344633103,1036.8548583984375,115.02332401275635
39,2.3564749537660212,460.0932922363281,2.3564749537660212,460.0932922363281,118.09526491165161
40,0.17373919621693792,1007.2562255859375,0.17373919621693792,1007.2562255859375,121.17869901657104
41,0.1523266699129182,982.5492553710938,0.1523266699129182,982.5492553710938,124.15950965881348
42,0.18991187049154043,609.8838500976562,0.18991187049154043,609.8838500976562,127.15077233314514
43,0.15581431089290457,1273.4892578125,0.15581431089290457,1273.4892578125,130.18452954292297
44,0.22483327646490137,422.0218505859375,0.22483327646490137,422.0218505859375,133.1829333305359
45,0.25417196445891027,804.3692626953125,0.25417196445891027,804.3692626953125,136.1971995830536
46,0.1733821462073558,460.2801818847656,0.1733821462073558,460.2801818847656,139.20571541786194
47,0.24614511313628543,722.7794189453125,0.24614511313628543,722.7794189453125,142.23294949531555
48,0.17095095161841814,77.54964447021484,0.17095095161841814,77.54964447021484,145.23911094665527
49,0.16752551334527252,1172.29541015625,0.16752551334527252,1172.29541015625,148.25885033607483
50,0.1765725378966391,1140.7525634765625,0.1765725378966391,1140.7525634765625,151.2377896308899
