iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,dti_ref_scale,L_DTI_scaled,weighted_DTI,weighted_z
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,nan,nan,nan
10,0.02054154872894287,6.819621562957764,0.0007847141241654754,0.00035234401002526283,-14.503212431089118,56.181237845258075,28.204684310062156,0.17363949919545124,0.00033242866622687256,0.000445337097849655,0.0003486216486465913,0.0007727559479491251,0.008749134378213175,1.0215171169808113e-05,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,1.0154643792917424,50.773218964587116,0.0
50,0.05973045155405998,1.297654628753662,0.0008014986524358392,0.003504657419398427,-14.041595976865723,50.51608186575754,25.360604291583886,0.17430691511262392,0.00033294225673568894,0.00044770131106519964,0.0003488263859801034,0.0007743355731361786,0.033147316917158005,3.2036357509227215e-05,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,1.0371845064780545,51.85922532390272,0.0
100,0.0801900327205658,1169.1669921875,0.0007583515252918005,0.006382150575518608,-13.647106030047269,46.12970355644936,23.15850942462318,0.1745874701174982,0.0003333777732791719,0.00044829505611246513,0.00034936061316958667,0.0007748000001765216,0.04787192483283324,4.369185298388213e-05,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,0.9813496879954146,49.06748439977073,0.0
200,0.1954517811536789,0.5376392006874084,0.0007532820454798639,0.03810885176062584,-12.375819231347505,34.42325894835711,17.281519396851134,0.17644924354090652,0.0003356305998616265,0.00045525352127617693,0.0003509809032929155,0.0007803809586662815,0.20307551638748247,0.00010045644288923551,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,0.9747894949110414,48.73947474555207,0.0
500,0.31662389636039734,0.34243765473365784,0.0008175730472430587,0.09958353638648987,-7.14280740672434,10.316937542334902,5.17941536335773,0.17861621868828814,0.0003390608732529914,0.0004629560029054885,0.0003538533395215373,0.0007875526592623839,0.41769569401325835,0.00015595468862748124,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,1.0579856808710382,52.89928404355191,0.0
1000,0.4039906859397888,0.5305496454238892,0.0007961285300552845,0.16320863366127014,-1.294220794365846,2.683441550614266,1.3471689963123024,0.18051205905038314,0.00034246335580219407,0.0004689853052500524,0.0003571612335823868,0.0007941533687239728,0.5699784208169157,0.00019294710795724024,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,1.0302352649365059,51.511763246825296,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,nan,nan,nan
10,0.01976071670651436,6.843640327453613,0.0007843031780794263,0.0003223068779334426,-14.58806979747459,57.28976495435444,28.761198519437976,0.17355290264795595,0.0003323432393005803,0.000444945664996018,0.0003486040842351663,0.000772446735560225,0.007445960970595712,8.878157429703798e-06,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.0149325918556031,101.4932591855603,0.0
50,0.05043092742562294,1.3670357465744019,0.0008014562190510333,0.0024865195155143738,-14.141316824622097,51.689430013158976,25.949660626981935,0.1740821319003647,0.0003327732608836542,0.0004466176202003349,0.0003488743762050267,0.0007735466734011466,0.02313367157916818,2.499910887339494e-05,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.037129595282453,103.7129595282453,0.0
