subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,signal_success,dti_success,fa_not_worse,fa_improve,md_improve,overall_status,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0
106319,0.25,signal,0.0,0.0,0.3443569242954254,-7.471932541452302,0.9954622082541043,8.312969044386728,1.9780734307876053,0.17939093257770358,0.0003399839755692771,0.0004677783723113588,0.0003537425557377213,0.0007920002206932942,0.00017098313535655058,-17.735472002074985,-10.857478865965707,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,11.85294107421981,0.005983678568409867,7.69509464746234e-06
106319,0.5,signal,0.0,0.0,0.3446570634841919,-5.598309149673094,1.2451844096637696,6.379691879649612,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.0007919273669555357,0.00017192520470759996,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075702150838145,0.006101767927044477,7.919853153266732e-06
106319,1.0,signal,0.0,0.0,0.36324456334114075,-2.597134608204725,nan,3.6222925405770683,nan,0.17999496941880141,0.00034149258412955076,0.00046831434616923954,0.00035583767846470826,0.0007932474663061984,0.0001810038215515872,-14.721499063347508,nan,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,nan,0.0065877154095076995,9.203703207736019e-06
120717,0.25,signal,0.0,0.0,0.40051203966140747,-13.890382250850841,-5.499954496241863,30.943202551098285,5.61061281991995,0.1811978374042419,0.0003202012511109978,0.0004650898138519716,0.00033213001766329377,0.000771154969377017,0.0001919741326761849,-25.516673196520525,-20.221954352360388,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,14.721999856118526,0.006804434175509438,7.644166255936274e-06
120717,0.5,signal,0.0,0.0,0.5563938617706299,-4.486171602896174,2.2145918481761115,3.7220624736745007,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0007906781922713589,0.0002720558851778043,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.48630893959721,0.01177500237061646,1.719320392054737e-05
120717,1.0,signal,0.0,0.0,0.3948447108268738,-10.139776840739492,nan,14.937893442654081,nan,0.18196978100930744,0.0003206448164222011,0.0004702950010911293,0.00033132569514502665,0.0007751335588011453,0.0001969799835794405,-22.97064856533528,nan,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,nan,0.007576377780574989,8.087731567139541e-06
121618,0.25,signal,0.0,0.0,0.24698495864868164,-22.392571483325014,-15.832753079118117,61.92321007129972,9.638026439160761,0.17893808215129217,0.0003155585337179126,0.0004395320349350966,0.0003267348981076614,0.000745018395068285,0.00012812508432140447,-29.585924173909113,-22.32784351302471,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,6.495090433906594,0.004209231629771465,6.254318719988415e-06
121618,0.5,signal,0.0,0.0,0.38905003666877747,-17.969307415008203,-11.797782130949734,19.03235577215669,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.0007625066469361212,0.00020399890681949072,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498794732001858,0.0076979034921758616,1.732098056081823e-05
121618,1.0,signal,0.0,0.0,0.4259803295135498,-16.268165473234124,nan,11.961876774628884,nan,0.18300815663967301,0.0003296484582377668,0.00045355910793088756,0.00034181712170319153,0.0007660416865694374,0.000218802558070746,-26.476792154685292,nan,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,nan,0.008279306118152308,2.0344243239842595e-05
116726,0.25,signal,0.0,0.0,0.5613558292388916,-27.90193960383215,-23.32302094173415,569.7549664595855,172.9419215555947,0.15275437619143264,0.0003737929074153144,0.00045536035127079455,0.0003894569537567535,0.0008106024839353226,0.00015306457970872765,-28.887898736794053,-23.3204300004543,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,-0.00259094127984838,-0.003926409200107561,-2.029145375780821e-06
116726,0.5,signal,0.0,0.0,0.5768490433692932,-26.681936574681067,-23.30050114659201,412.4114330543906,169.80813887006406,0.15284681772668932,0.00037372137057451366,0.0004554491740591562,0.00038941499303893383,0.000810347097060813,0.00015316046314576943,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.017893594599936335,-0.0038339676648508902,-2.1006822165815634e-06
116726,1.0,signal,0.0,0.0,0.5966214537620544,-25.5278769331556,nan,301.7299865052985,nan,0.15305831189676003,0.0003736212426840496,0.00045563409063310395,0.000389374732981179,0.0008099717737302096,0.00015264680709262615,-26.252569931861554,nan,0.1566807853915402,0.0003758220527910952,True,True,True,True,True,STRONG_WIN,nan,-0.0036224734947801762,-2.200810107045627e-06
106319,0.25,directional,0.0,0.0,0.340265154838562,-8.520579271619061,0.8788982057361092,10.58329340229889,2.031883529114525,0.1797232399607918,0.00033911390285481564,0.0004664979324976009,0.0003533263210312931,0.0007897353921248899,0.00016652425347123037,-17.735472002074985,-10.857478865965707,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,11.736377071701815,0.006315985951498071,6.825021933000897e-06
106319,0.5,directional,0.0,0.0,0.33965128660202026,-6.853763059260736,1.0300076723085614,8.518146303693921,1.9314823094467335,0.1797119967015385,0.0003391152483433313,0.00046647498224582947,0.00035332892346235506,0.0007897226641986618,0.00016651352169184488,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,11.860525413482938,0.006304742692244791,6.82636742151653e-06
106319,1.0,directional,0.0,0.0,0.3378572165966034,-5.1521744176177755,nan,6.523602679936001,nan,0.1796771543784718,0.00033904516031171004,0.000466325431287296,0.00035327161341979467,0.0007895636586007684,0.00016574684516141504,-14.721499063347508,nan,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,nan,0.006269900369178072,6.756279389895294e-06
